,word,count
735,class,28
1372,us,28
2573,gave,28
912,wayne,28
2652,october,28
456,food,28
1593,easier,28
2394,colors,28
350,says,28
772,sense,27
1618,doctors,27
323,exactly,27
781,started,27
274,between,27
773,sell,27
1145,glad,27
385,cat,27
1960,quit,27
1007,create,27
2563,waiting,27
1076,both,27
483,problem,27
2390,answer,26
583,often,26
410,wow,26
697,main,26
1915,aid,26
2436,ago,26
1205,mail,26
951,worried,26
1895,playing,26
1440,rate,26
967,works,26
1622,parents,26
633,walk,26
522,funny,26
3262,appointment,26
158,girls,26
336,appear,25
1051,spent,25
1097,costs,25
2270,grow,25
954,hopefully,25
2984,jaiyeoba,25
3173,okay,25
261,tried,24
1539,careful,24
1488,worked,24
765,cool,24
305,april,24
740,second,24
1193,university,24
212,january,24
3136,bank,24
3145,hello,24
326,fiction,24
988,memoir,24
122,longer,24
1039,task,24
872,living,24
910,coming,24
1015,september,24
421,white,24
722,ideas,24
3205,cycle,24
604,bed,23
1085,meeting,23
354,play,23
580,changes,23
1708,especially,23
1653,nairobi,23
4251,primes,23
1092,interested,23
67,three,23
521,online,23
661,crystal,23
1766,quick,23
537,writer,23
1553,reason,22
1596,review,22
1494,chocolate,22
1594,cold,22
893,using,22
2061,closer,22
476,likely,22
906,color,22
2806,pain,22
1220,dark,22
138,knows,22
44,meloni,22
1165,midnight,22
624,rest,22
981,save,22
991,half,21
2197,medicine,21
630,shopping,21
2444,curry,21
1350,z,21
1512,asking,21
4280,lagos,21
655,matter,21
1025,looked,21
2235,table,21
2310,receipts,21
3723,data,21
2645,july,21
2484,program,21
1451,chance,21
1695,nothing,21
1150,stop,21
1634,unless,21
824,pontiac,20
2301,gets,20
1396,mention,20
621,leave,20
500,green,20
2802,competition,20
1806,goes,20
2323,paid,20
2162,texting,20
1086,common,20
315,supposed,20
1338,worth,20
481,ever,20
2102,re,20
754,nearly,20
4127,drawing,20
1726,pace,20
109,song,20
2609,chad,20
1211,brought,20
1446,tired,20
1741,kelly,20
827,finished,20
1379,novel,20
569,regular,20
797,hand,20
2804,enter,19
1588,mostly,19
983,finally,19
2128,fact,19
1081,otherwise,19
1016,rd,19
2345,danny,19
626,kitchen,19
2482,daughter,19
1838,don,19
2087,eye,19
1312,lately,19
939,bring,19
928,appears,19
748,material,19
2407,african,19
2631,shermeta,19
1294,known,19
888,related,19
582,weather,19
588,instead,19
2300,low,19
3075,expensive,19
1954,increase,19
1281,betelgeuse,19
2091,fatima,19
1347,pens,19
2302,definitely,19
434,brain,19
1779,energy,18
1897,lights,18
312,rather,18
2024,nigeria,18
690,along,18
1212,conversation,18
2430,forward,18
1228,line,18
3117,hi,18
905,listen,18
879,required,18
2220,higher,18
2031,ahead,18
454,card,18
460,center,18
704,city,18
977,decided,18
1896,walked,18
1332,clothes,18
960,mystery,18
2636,shower,18
1627,sales,18
1518,turn,18
3234,knowledge,18
76,amazing,18
702,travel,18
1941,experience,17
1132,ready,17
2088,march,17
1027,useful,17
2335,stress,17
1547,gone,17
1519,major,17
1776,scale,17
1017,deneb,17
239,walking,17
1107,trees,17
2758,goals,17
1636,miles,17
3142,print,17
379,clear,17
865,authors,17
2384,blue,17
1152,arrive,17
532,whether,17
1337,show,17
2207,return,17
1742,hunter,17
196,king,17
2276,purple,17
1210,talked,17
1333,groceries,17
916,kept,17
3115,begins,17
1392,several,17
482,seen,17
559,send,17
1189,stories,17
3528,message,17
2231,advice,16
747,level,16
1698,note,16
823,downtown,16
892,process,16
714,decide,16
919,miss,16
978,against,16
932,fall,16
1763,third,16
744,study,16
2278,chocolope,16
1320,office,16
2427,easy,16
2126,key,16
618,income,16
213,sirius,16
1814,fast,16
3009,transit,16
2597,letter,16
1964,blood,16
845,side,16
1262,november,16
193,world,16
1059,woman,16
1506,under,16
1253,fill,16
2689,x,16
1144,keeping,16
399,ground,16
1892,february,16
1912,nobody,16
2405,likes,16
518,mentioned,16
2139,hold,16
