,count,word
860,32.0,everything
1120,32.0,written
2131,32.0,own
357,32.0,interesting
773,32.0,makes
933,31.0,twitter
560,31.0,expect
1859,31.0,asked
2616,31.0,hydroxyzine
711,31.0,plenty
1,31.0,december
1288,31.0,beginning
202,31.0,saturday
658,31.0,live
2117,31.0,learn
2044,31.0,space
1471,31.0,bought
1279,30.0,eat
1030,30.0,names
2112,30.0,extra
817,30.0,available
995,30.0,except
669,30.0,watch
211,30.0,veleria
1770,30.0,guitar
712,29.0,start
680,29.0,chicken
1195,29.0,listening
51,29.0,complete
1448,29.0,rate
1760,29.0,either
41,29.0,hot
1548,28.0,couple
925,28.0,august
2057,28.0,home
351,28.0,says
448,28.0,rent
1079,28.0,relationship
75,28.0,question
906,28.0,june
1366,28.0,busy
396,28.0,anyways
152,28.0,happened
887,28.0,taking
1381,28.0,dinner
128,27.0,important
1531,27.0,hair
431,27.0,information
852,27.0,together
436,27.0,meet
1142,27.0,happen
1018,27.0,sounds
458,27.0,food
1938,27.0,grow
1061,27.0,person
485,26.0,problem
178,26.0,short
1913,26.0,earlier
957,26.0,worried
1972,26.0,possible
1342,26.0,whole
159,26.0,girls
2476,26.0,nurse
905,26.0,continue
987,25.0,save
2742,25.0,colors
515,25.0,marijuana
1626,25.0,doctors
880,25.0,old
3940,25.0,chart
1601,25.0,easier
452,25.0,plus
1373,25.0,st
2187,25.0,jaiyeoba
1046,25.0,task
37,25.0,met
275,25.0,between
236,25.0,house
763,25.0,means
1927,25.0,playing
771,25.0,our
327,25.0,fiction
324,25.0,exactly
2186,25.0,quit
914,25.0,stopped
719,25.0,big
549,25.0,true
306,25.0,april
1423,25.0,copies
1043,24.0,forget
767,24.0,cool
1104,24.0,costs
912,24.0,family
994,24.0,memoir
663,24.0,crystal
1677,24.0,copy
635,24.0,walk
386,24.0,cat
1013,24.0,create
724,24.0,ideas
1915,24.0,yesterday
2917,23.0,questions
918,23.0,state
2325,23.0,gave
3191,23.0,cycle
585,23.0,often
960,23.0,hopefully
2257,23.0,receipts
3953,23.0,charts
1058,23.0,spent
915,23.0,coming
1212,23.0,e
742,23.0,second
935,23.0,fine
2272,22.0,closer
139,22.0,knows
1815,22.0,goes
1909,22.0,pain
123,22.0,longer
1734,22.0,pace
783,22.0,started
1630,22.0,parents
1775,22.0,quick
2031,22.0,aid
45,22.0,meloni
2138,22.0,waiting
973,22.0,works
355,22.0,play
1357,22.0,z
775,21.0,sell
917,21.0,wayne
1459,21.0,chance
3169,21.0,pulitzer
524,21.0,funny
2075,21.0,table
422,21.0,white
96,21.0,knew
799,21.0,hand
1716,21.0,especially
1502,21.0,chocolate
1173,21.0,midnight
774,21.0,sense
1616,21.0,dreams
1345,21.0,worth
1808,21.0,great
